"Step","debug/lpl_local - _step","debug/lpl_local - _step__MIN","debug/lpl_local - _step__MAX","debug/lpl_local - Performance/linear_readout_acc","debug/lpl_local - Performance/linear_readout_acc__MIN","debug/lpl_local - Performance/linear_readout_acc__MAX"
"22831","1610","1610","1610","0.5774","0.5774","0.5774"
"22910","1616","1616","1616","0.5731","0.5731","0.5731"
"22989","1621","1621","1621","0.5763","0.5763","0.5763"
"23068","1627","1627","1627","0.5708","0.5708","0.5708"
"23147","1632","1632","1632","0.5698","0.5698","0.5698"
"23226","1638","1638","1638","0.5712","0.5712","0.5712"
"23305","1644","1644","1644","0.5775","0.5775","0.5775"
"23384","1649","1649","1649","0.5781","0.5781","0.5781"
"23463","1655","1655","1655","0.5813","0.5813","0.5813"
"23542","1660","1660","1660","0.576","0.576","0.576"
"23621","1666","1666","1666","0.5747","0.5747","0.5747"
"23700","1672","1672","1672","0.5764","0.5764","0.5764"
"23779","1677","1677","1677","0.5778","0.5778","0.5778"
"23858","1683","1683","1683","0.5782","0.5782","0.5782"
"23937","1688","1688","1688","0.5801","0.5801","0.5801"
"24016","1694","1694","1694","0.5762","0.5762","0.5762"
"24095","1699","1699","1699","0.5802","0.5802","0.5802"
"24174","1705","1705","1705","0.5774","0.5774","0.5774"
"24253","1711","1711","1711","0.5811","0.5811","0.5811"
"24332","1716","1716","1716","0.576","0.576","0.576"
"24411","1722","1722","1722","0.5734","0.5734","0.5734"
"24490","1727","1727","1727","0.5751","0.5751","0.5751"
"24569","1733","1733","1733","0.5811","0.5811","0.5811"
"24648","1738","1738","1738","0.5738","0.5738","0.5738"
"24727","1744","1744","1744","0.575","0.575","0.575"
"24806","1750","1750","1750","0.5778","0.5778","0.5778"
"24885","1755","1755","1755","0.5743","0.5743","0.5743"
"24964","1761","1761","1761","0.5791","0.5791","0.5791"
"25043","1766","1766","1766","0.5705","0.5705","0.5705"
"25122","1772","1772","1772","0.5714","0.5714","0.5714"
"25201","1778","1778","1778","0.5767","0.5767","0.5767"
