"Step","debug/lpl_local_top-down_errCorr_a2.0_1T - _step","debug/lpl_local_top-down_errCorr_a2.0_1T - _step__MIN","debug/lpl_local_top-down_errCorr_a2.0_1T - _step__MAX","debug/lpl_local_top-down_errCorr_a2.0_1T - Performance/linear_readout_acc","debug/lpl_local_top-down_errCorr_a2.0_1T - Performance/linear_readout_acc__MIN","debug/lpl_local_top-down_errCorr_a2.0_1T - Performance/linear_readout_acc__MAX"
"32627","2302","2302","2302","0.6025","0.6025","0.6025"
"32706","2308","2308","2308","0.5964","0.5964","0.5964"
"32785","2313","2313","2313","0.6039","0.6039","0.6039"
"32864","2319","2319","2319","0.5972","0.5972","0.5972"
"32943","2324","2324","2324","0.6012","0.6012","0.6012"
"33022","2330","2330","2330","0.6019","0.6019","0.6019"
"33101","2336","2336","2336","0.5939","0.5939","0.5939"
"33180","2341","2341","2341","0.6006","0.6006","0.6006"
"33259","2347","2347","2347","0.5982","0.5982","0.5982"
"33338","2352","2352","2352","0.5993","0.5993","0.5993"
"33417","2358","2358","2358","0.5994","0.5994","0.5994"
"33496","2363","2363","2363","0.5917","0.5917","0.5917"
"33575","2369","2369","2369","0.6008","0.6008","0.6008"
"33654","2375","2375","2375","0.6025","0.6025","0.6025"
"33733","2380","2380","2380","0.6015","0.6015","0.6015"
"33812","2386","2386","2386","0.5998","0.5998","0.5998"
"33891","2391","2391","2391","0.5983","0.5983","0.5983"
"33970","2397","2397","2397","0.5965","0.5965","0.5965"
"34049","2402","2402","2402","0.6003","0.6003","0.6003"
"34128","2408","2408","2408","0.5918","0.5918","0.5918"
"34207","2414","2414","2414","0.5985","0.5985","0.5985"
"34286","2419","2419","2419","0.6043","0.6043","0.6043"
"34365","2425","2425","2425","0.6014","0.6014","0.6014"
"34444","2430","2430","2430","0.6012","0.6012","0.6012"
"34523","2436","2436","2436","0.5993","0.5993","0.5993"
"34602","2442","2442","2442","0.5978","0.5978","0.5978"
"34681","2447","2447","2447","0.5987","0.5987","0.5987"
"34760","2453","2453","2453","0.6019","0.6019","0.6019"
"34839","2458","2458","2458","0.5964","0.5964","0.5964"
"34918","2464","2464","2464","0.5967","0.5967","0.5967"
"34997","2469","2469","2469","0.6073","0.6073","0.6073"
"35076","2475","2475","2475","0.6028","0.6028","0.6028"
"35155","2481","2481","2481","0.6005","0.6005","0.6005"
"35234","2486","2486","2486","0.6014","0.6014","0.6014"
"35313","2492","2492","2492","0.6016","0.6016","0.6016"
"35392","2497","2497","2497","0.5977","0.5977","0.5977"
"35471","2503","2503","2503","0.6054","0.6054","0.6054"
"35550","2509","2509","2509","0.6007","0.6007","0.6007"
"35629","2514","2514","2514","0.6044","0.6044","0.6044"
"35708","2520","2520","2520","0.5992","0.5992","0.5992"
"35787","2525","2525","2525","0.5999","0.5999","0.5999"
"35866","2531","2531","2531","0.6003","0.6003","0.6003"
"35945","2536","2536","2536","0.602","0.602","0.602"
"36024","2542","2542","2542","0.5999","0.5999","0.5999"
"36103","2548","2548","2548","0.6044","0.6044","0.6044"
